title,lyrics
Dimelo En Un Beso,"Con solo un beso
me dijiste todo
me diste la vida
en tus caricias
vivi mi fantasia
en tumirada
vi que eras mia
que en ti yo vivia

Lo que tus labios no digan
lo que tu cuerpo me pida

Dimelo en un beso
cuentame el secreto
de tu amor
no me ocultes nada
y dejate llevar
por mi corazon

No hay nada
como despertar contigo
dormir a tu lado
amandote dia y noche
sin medida
revelame el misterio escondido
si lo has decidido
no necesitas palabras
para decir que me amas

Estribillo...

Entregate sin temor
no hay nadie mas
que tu y yo
tu cuerpo pide calor
dame tus labios
y dale refugio a mi amor

Dimelo en un beso
cuentame el secreto
de tu amor
no me ocultes nada
y dejate llevar
por mi corazon

Dimelo en un beso
cuentame el secreto
de tu amor
no me ocultes nada
y dejate llevar
por mi corazon"
Directo Al Corazón,"Dos helados más
Mucho que decir
Todo por hablar 
Nada que fingir

Chiquilla mía
Somos como el temporal
que arrastra todo
y no le importa dónde va
Nuestro cariño
es un barco en alta mar
Navega libre
Sin temor a naufragar

Cariño mío sólo tú y yo
Los dos sin nada que ocultar
Y tú y yo lanzamos el amor
Y tú y yo directo al corazón
al corazón

Cariño mío sólo tú y yo
Los dos el pájaro y la flor
Y tú y yo lanzamos el amor
Y tú y yo directo al corazón 
al corazón,
Cariño mío, somos dos

Salgo a caminar
Tus ojos cambian el color de la ciudad
Tú me sonríes y la gente me da igual
Te quiero tanto que no entiendo nada más

Cariño mío sólo tu y yo...etc."
Disfraces,"Aquí me tienes con la máscara impecable de la noche,
maquillándote mi vida que se esconde
Tras mi sonrisa, mis ademanes, tras mis canciones

Aquí me tienes con la luz de un cenital sobre mi cuerpo
Olvidando soledad y amores viejos
Con  tus aplausos  apasionados ¡que privilegio!

De madrugada con la luz de las estrellas
Me arrancaré cualquier disfraz, cualquier careta
Para mirar la vida cara a cara
Y disfrutar  de amores que me esperan
Disfrazaré la realidad con flores bellas
Para vivir mi carnaval a mi manera
Reuniendo amigos, arlequines y payasos
Para cantar canciones que me llenan
Y ahogar en unas copas los fracasos

Aquí me tienes ya cansado de aventuras
De ida y vuelta, de disfraces, de ataduras, de cadenas
Que no me dejan vivir mi vida como cualquiera"
Dormir Contigo,"Dormir contigo
Es el camino más directo al paraíso
Sentir que sueñas
Mientras te beso y las manos te acaricio

Dormir contigo
Es navegar en una estrella hasta el espacio
Es embriagarme
Con el susurro de tu hablar tierno y despacio

Dormir contigo
Es conocer la dimensión que tiene un verso
Sentir que duermo
Y al mismo tiempo, conocer el universo

Dormir contigo
Con tu cabello acomodado aquí en mis brazos
Y el terciopelo que me brinda tu regazo
¡Qué maravilla dormir contigo!

Dormir contigo
Con la ilusión de que despertaré mañana
Con el calor y un nuevo día en la ventana
Fue algo hermoso, amor, dormir contigo

Dormir contigo
Con tu cabello acomodado aquí en mis brazos
Y el terciopelo que me brinda tu regazo
¡Qué maravilla dormir contigo!

Dormir contigo
Con la ilusión de que despertaré mañana
Con el calor y un nuevo día en la ventana
Fue algo hermoso, amor, dormir contigo"
Échame a Mí La Culpa,"Sabes mejor que nadie que me fallaste
Que lo que prometiste se te olvidó
Sabes, a ciencia cierta, que me enganaste
Aunque nadie te amara igual que yo

Lleno estoy de razones pa' despreciarte
Y sin embargo, quiero que seas feliz

Que allá en el otro mundo
En vez de infierno, encuentres gloria
Y que una nube de tu memoria
Me borre a mí

Dile al que pregunte
Que no te quise
Dile que te enganaba
Que fui lo peor

Échame a mí la culpa de lo que pase
Cúbrete tú la espalda con mi dolor

Que allá en el otro mundo
En vez de infierno, encuentres gloria
Y que una nube de tu memoria
Me borre a mí

Dile al que pregunte
Que no te quise
Dile que te enganaba
Que fui lo peor

Échame a mí la culpa de lo que pase
Cúbrete tú la espalda con mi dolor

Que allá en el otro mundo
En vez de infierno, encuentres gloria
Y que una nube de tu memoria
Me borre a mí

Y que allá en el otro mundo
En vez de infierno, encuentres gloria
Y que una nube de tu memoria
Me borre a mí"
El Balajú,"Balajú se fue a la guerra
Y no me quiso llevar
Y no me quiso llevar
Balajú se fue a la guerra
Le dijo a su compañera
Vámonos a navegar
A ver quién llega primero
Al otro lado del mar

Ariles y más ariles
Ariles del carrizal
Me picaron las abejas
Pero me comí el panal
Ariles y más ariles
Ariles del carrizal
Me picaron las abejas
Pero me comí el panal

A mi mexico querido le dedico esta canción
Le dedico esta canción, a mi mexico querido
Cantando fuerte lo grito con todo mi corazón
Aunque este lejos lo digo
Como mexico no hay dos

Ariles y más ariles
Ariles sigo cantando
A todita mi región
A la que yo quiero tanto
Ariles y más ariles
Ariles que fuerte digo
Que viva mi veracruz
Y mi México querido, si seño

Mujer de canela fina
Negrita maría Belén
Tu mirada me fascina
Y tus encantos también
Tu boquita coralina
Perfumada con desdén
La quiero de medicina
Para quererte después

Ariles y más ariles
Ariles del que vendra
Ariles del que ya viene
Del que al fin regresara
Ariles y más ariles
Ariles del carrizal
Me picaron las abejas
Pero me comí el panal, ay ay"
"El Brujo (Yummy, Yummy, Yummy)","Hola, hola, hola
Tu futuro en la bola
Amor de brujo, bola de cristal

Sola, sola, sola
Sé que tú no estás sola
Y un conjuro te voy a lanzar

Uñas de unicornio¿¿
Cuernos de demonio
Todo bien mezclado con roca

Gotas de suspiro
Un beso perdido
Y un poco de coco y limón

Hola, hola, hola
Tu futuro en la bola
Amor de brujo, bola de cristal

Luna, Luna. Luna
Hoy hay claro de Luna
Es mi noche, no voy a fallar

Un abracadabra
Y un pelo de cabra
Y un poquito más de melón

Un filtro perfecto
Todo está dispuesto
Para conseguir tu amor

Brujo, yo soy tu brujo
Yo soy el brujo
Brujo por ti

Hola, hola, hola
Tu futuro en la bola
De este hechizo no te escaparas

Hola, hola, hola
Tu futuro en la bola
Esta manzana envenenada está

Uñas de unicornio
Cuernos de demonio
Todo bien mezclado con roca

Gotas de suspiro
Un beso perdido
Y un poco de coco y limón

Brujo, brujo, brujo
Mi poder te sedujo
Y te puedo conocer mejor

Brujo, brujo, brujo
Por tu culpa fui brujo
El filtro mágico me dio tu amor

Uñas de unicornio
Cuernos de demonio"
El Dia Que Me Quieras,"Acariciame en sueño
El suave murmullo
De tu suspirar
Como ríe la vida
Si tus ojos negros
Me quieren mirar
Y si es mío el amparo
De tu risa leve
Que es como un cantar
Ella aquieta mi herida
Todo, todo se olvida

El día que me quieras
La rosa que engalana
Se vestirá de fiesta
Con su mejor color
Y al viento las campanas
Dirán que ya eres mía
Y locas las fontanas
Se contarán su amor

La noche que me quieras
Desde el azul del cielo
Las estrellas celosas
Nos mirarán pasar

Y un rayo misterioso
Hará nido en tu pelo
Luciérnaga curiosa
Que verá que es
Mi consuelo"
El Primero,"La timidez
Era yo
Ese que te amó
Cuando ni tú sabías la palabra

El más audaz
Que te besó
Por primera vez
Ese que estrenó tu cuerpo
Fui yo

El primero que puso a mil tu corazón
Que te hizo descubrir
Amada
Tu propio amor
Como si nada

Ese primer suspiro yo lo fui
Por eso estoy aquí
Viviendo para ti

Ese galán
Era yo
El que se marchó
Cuanto te dio en la piel la luz del día

El que voló
Junto a ti
Por primera vez
Cuando nadie nos veía
Fui yo

El primero que puso a mil tu corazón
Que te hizo descubrir
Amada
Tu propio amor
Como si nada

Ese primer suspiro yo lo fui
Por eso estoy aquí
Amada

El primero que puso a mil tu corazón
Que te hizo descubrir
Amada
Tu propio amor
Como si nada

Ese primer suspiro yo lo fui
Por eso estoy aquí
Viviendo para ti"
El Reloj,"Reloj, no marques las horas
Porque voy a enloquecer
Ella se irá para siempre
Cuando amanezca otra vez

No más nos queda esta noche
Para vivir nuestro amor
Y tu tic-tac me recuerda
Mi irremediable dolor

Reloj, detén tu camino
Porque mi vida se apaga
Ella es la estrella que alumbra mi ser
Yo sin su amor no soy nada

Detén el tiempo en tus manos
Haz esta noche perpetua
Para que nunca se vaya de mí
Para que nunca amanezca

Reloj, detén tu camino
Porque mi vida se apaga
Ella es la estrella que alumbra mi ser
Yo sin su amor no soy nada

Detén el tiempo en tus manos
Ooh, haz esta noche perpetua
Para que nunca se vaya de mí
Para que nunca amanezca"
El Rey,"Yo sé bien que estoy afuera
Pero el día en que yo me muera
Sé que tendrás que llorar
(llorar y llorar, llorar y llorar)
Dirás que no me quisiste
Pero vas a estar muy triste
Y así te vas a quedar

Con dinero y sin dinero
Hago siempre lo que quiero
Y mi palabra es la ley
No tengo trono ni reina
Ni nadie que me comprenda
Pero sigo siendo el rey

¡Échale!

Una piedra en el camino
Me enseño que mi destino era rodar y rodar
(Rodar y rodar, rodar y rodar)
Después me dijo un arrielo
Que no hay que llegar primero
Sino hay que saber llegar

Con dinero y sin dinero
Hago siempre lo que quiero
Y mi palabra es la ley
No tengo trono ni reina
Ni nadie que me comprenda
Pero sigo siendo el rey"
el siete mares,"Soy marino vivo errante, cruzo por los siete mares
Y como soy navegante, vivo entre las tempestades
Desafiando los peligros que me dan los siete mares

Cuando el mar está tranquilo y hay estrellas en el cielo
Y entre penas y suspiros, le hablo a la mujer que quiero
Y solo el mar me contesta: Ya no llores, marinero

Llevando conmigo mismo un amor ya casi muerto
(Yo ya quisiera quedarme, juntito a mi gran cariño)
Pero esa no fue mi vida, navegar es mi destino

Estrellita marinera, compañera de nosotros
Qué noticia tienes ahora, de esa que me trae tan loco
Si es que todavía me quiere, dímelo poquito a poco

Olas altas, olas grandes que me arrastran y me alejan
Cuando anclemos en Tampico, quédense un ratito quietas
Tan siquiera cuatro noches, si es que entienden mis tristezas

Llevando conmigo mismo un amor ya casi muerto
(Yo ya quisiera quedarme, juntito a mi gran cariño)
Pero esa no fue mi vida, navegar es mi destino"
El Tiempo,"Pasa el tiempo y cuando pasa
Nos va llevando con él
Cada segundo que corre
Nos queda menos por ver

En su marcha enloquecida
No conoce quien es quien
Se apodera de los pobres
Y de los ricos también
Tiempo cruel, tiempo cruel

No perdonas ni a las flores
Del más bonito jardín
Las conviertes en primores
Y las destruyes al fin
Tiempo cruel tiempo cruel

Cuando yo estoy muy contento
Que veloz tú pasas por mí
Y cuando no tienes preciso
Que lento es tu transcurrir

Tiempo cómo te admiro 
Por tu inexorable transcurrir
Tiempo, como te admiro
Por tu inexorable ley
Porque pasas para esclavos
Porque pasas para esclavos
Lo mismo que para un rey"
El Tiempo Que Te Quede Libre,"El tiempo que te quede libre
Si te es posible, dedícalo a mí
A cambio de mi vida entera
O lo que me queda y que te ofrezco yo

Atiende preferentemente
A toda esa gente que te pide amor
Pero el tiempo que te quede libre
Si te es posible, dedícalo a mí

El tiempo que te quede libre
Si te es posible, dedícalo a mí

No importa que sean dos minutos
O si es uno solo, yo seré feliz
Con tal de que vivamos juntos
Lo mejor de todo dedicado a mí

Y luego cuando te reclamen
Y otra vez te llamen volveré a decir
Que el tiempo que te quede libre
Si te es posible, dedícalo a mí

Que el tiempo que te quede libre
Si te es posible, dedícalo a mí

No importa que sean dos minutos
O si es uno solo, yo seré feliz
Con tal de que vivamos juntos
Lo mejor de todo dedicado a mí

Y luego cuando te reclamen
Y otra vez te llamen volveré a decir
Que el tiempo que te quede libre
Si te es posible, dedícalo a mí

Que el tiempo que te quede libre
Si te es posible, dedícalo a mí

Y luego cuando te reclamen
Y otra vez te llamen volveré a decir
Que el tiempo que te quede libre
Si te es posible, dedícalo a mí

Que el tiempo que te quede libre
Si te es posible, dedícalo a mí"
El Viajero,"Yo soy ese viajero
Que va por el camino
Por brechas y veredas
Buscando su destino

Escucho alegres trinos
Del ave arborera
Rumor de fresca brisa
De tierra morena

Miro en las espigas
Dorados sus trigales
Como las que se mecen
Muy verdes los maizales

Y serpentean las bardas
De piedras quebradas
Casitas con arcones
De adobe blanqueadas

La virgen del cerrito
Que alivia nuestros males
Nos da sus bendiciones
Milagros y bondades

Con fe los mexicanos
Le brindan su canto
Y todos la visitan
El día de su santo

México, México
Te llevo en el corazón
Con la alegría del mariachi
Me brota la inspiración

México, México
De bronce tu corazón
No hay como sones jarochos
Cantados con emoción

Piletas como espejos
Y tibias sus lagunas
Se peinan con el viento
De encaje las espumas

De piedras molcajetes
Volcanes nevados
El Popo el Iztaccíhuatl
Amantes postrados

Me quedo en este suelo
Tan lindo y tan sereno
Porque he encontrado
Cantos caricias y consuelos

Por tantas cosas bellas
Me quedo en tu seno
Gozando tus pregones
Te canta el viajero

México, México
Te llevo en el corazón
Con la alegría del mariachi
Me brota la inspiración

México, México
De bronce tu corazón
No hay como sones jarochos
Cantados con emoción

México, México
Te llevo en el corazón"
Ella Es Así!,"Ella tiene un porte tan intelectual
Que arrebata la respiración
Un ardiente y frío modo de mirar
Que a todos fasciina
Que te contamiina
El corazón con adrenalina

Ella es así
Con sus labios carmesi
La mujer más bella del lugar
Ella es así
Va adueñandose de ti
Con la miel de su sensualidad

Cuídate
Si oyes el murmullo tenue de su voz
No podrás tus ansias contener
Su perfume suave aroma a sándalo
Pronto te domina cuando se aproxima
Con esos ojos aguamarina

Ella es así
Con sus labios carmesi
La mujer más bella del lugar
Ella es así
Va adueñandose de ti
Con la miel de su sensualidad

Piel de seda que irradia amor
Al mirarla pasar
Su sonrisa imposible olvidar, olvidar

Ella es así
Con sus labios carmesi
La mujer más bella del lugar
Ella es así
Va adueñandose de ti
Con la miel de su sensualidad

Ella es así
Ella, ella es así
La mujer más bella del lugar
Ella es así
Va adueñandose de ti
Con la miel de su sensualidad

Ella es así
Con sus labios carmesí
La mujer más bella del lugar
Ella es así
Con la miel de su sensualidad"
En Japon,"Me invitaste aquella tarde
Mas o menos a las tres
A comer a un excitante
Restaurante japonés
Yo no sé, si fue el ambiente
O el refresco que tome
O las ganas de besarte
Que de pronto yo viaje

Y en Japón-pon
En Japón me encontré
En Japón-pon
En Japón te encontré
Entre los lotos al amanecer
El sol naciente solo para ti
Y el fujiyama blanco despertó
De su letargo y nos saludo

A Japón-pon, a Japón yo viaje
Y en Japón-pon
En Japón te encontré
Me temblaban los palillos
Y se me cayo el arroz
Me miraste sonriendo
Y yo te pedí perdón
Te conté lo que pasaba
No parabas de reír
Pero yo estaba seguro
Lo aseguro; estuve allí."
En Mi Corazón...,"Cuando tu volviste, mi amor,
Dejaste la paz en mi corazón.
Cuando partiste, oh mi flor,
Solo puede triste lo calor
No tener para la mi razón.

Ahora, sem usted soy solo
Y mi vita es lo daño para doler.
No tengo más los tuyos cariños,
Eses más dulces para mis camiños
Y ahora lloro solamiente para tener.

Quiero, cuando me puessas volvir
Que deje lejo ese sufrimiento
Para hacer la paz en mi corazón
Y ayhuentar toda mi falta de razón
Por tener te solo en mi pensamiento."
En Mi Viejo San Juan,"En mi viejo San Juan
Cuantos sueños forjé
En mis noches de infancia
Mi primera ilusión
Y mis quitas de amor
Son recuerdos del alma

Una tarde me fui
Así a extraña nación
Pues lo quiso el destino
Pero mi corazón
Se quedó frente al mar
En mi viejo San Juan

Adiós (adiós, adiós)
Borinquen querida
(Dueña de mi amor)
Adiós (adiós, adiós)
Mi diosa del mar
(Mi reina del palmar)
Me voy (ya me voy)
Pero un día volveré
A buscar mi querer
A soñar otra vez
En mi viejo San Juan

Pero el tiempo pasó
Y el destino burló
Mi terrible nostalgia
Y no pude volver
Al San Juan que yo amé
Pedacito de patria

Mi cabello blanqueo
Ya mi vida se va
Ya la muerte me llame
Y no quiero morir
Alejado de tí
Puerto Rico del alma, adiós"
Encadenados,"Tal vez sería mejor que no volvieras
Quizás fuera mejor que me olvidaras
Volver es empezar a atormentarnos
A querernos para odiarnos
Sin principio ni final

Nos hemos hecho tanto, tanto daño
Que amor entre nosotros, es martirio
Jamás quiso llegar el desengaño
Ni el olvido, ni el delirio
Seguiremos siempre igual

Cariño como el nuestro es un castigo
Que se lleva en el alma hasta la muerte
Mi suerte necesita de tu suerte
Y tú me necesitas mucho más

Por eso no habrá nunca despedida
Ni paz alguna habrá de consolarnos
El paso del dolor, ha de encontrarnos
De rodillas en la vida
Frente a frente...y nada más"
Entre Tus Brazos,"Siento tu calor, tu dulzura
Y me sumerjo en tu ternura
En tus brazos encuentro paz
Y todo lo demás se desvanece detrás

Entre tus brazos encuentro mi hogar
Todo lo que necesito, todo lo que quiero
Solo tú me haces sentir así
En tus brazos es donde quiero vivir

Tu risa me hace olvidar
Todo el dolor que hay en el mar
Tus ojos son mi faro en la oscuridad
En tus brazos, todo tiene sentido y claridad

Entre tus brazos encuentro mi hogar
Todo lo que necesito, todo lo que quiero
Solo tú me haces sentir así
En tus brazos es donde quiero vivir

No necesito nada más que tu amor
Con él, todo lo demás es menor
Contigo, mi alma está en paz
En tus brazos, quiero quedarme a descansar

Entre tus brazos encuentro mi hogar
Todo lo que necesito, todo lo que quiero
Solo tú me haces sentir así
En tus brazos es donde quiero vivir

Entre tus brazos, mi corazón está feliz
Por siempre juntos, tú y yo, seremos felices"
Entrega Total,"Esta vez
Ya no soporto la terrible soledad
Yo no te pongo condición
Harás conmigo lo que quieras
Bien o mal

Llévame
De ser posible hasta la misma eternidad
Donde perdure nuestro amor
Porque tú
Eres toda mi felicidad

Llévame si quieres hasta el fondo
Del dolor
Hazlo como quieras por maldad o
Por amor

Pero esta vez
Quiero entregarme a ti
En una forma total
No con un beso nada más
Quiero ser tuyo
Sea por bien o sea por mal

Llévame si quieres hasta el fondo
Del dolor
Hazlo como quieras por maldad o
Por amor

Pero esta vez
Quiero entregarme a ti
En una forma total
No con un beso nada más
Quiero ser tuyo
Sea por bien o sea por mal"
Entrégate,"¿Cómo te atreves a mirarme así
A ser tan bella, y encima sonreir?
Mía, hoy serás mía por fin
Cierra los ojos, déjate querer
Quiero llevarte al valle del placer
Mía, hoy serás mía, lo sé

Déjame robar el gran secreto de tu piel
Déjate llevar por tus instintos de mujer

Entrégate, aun no te siento
Deja que tu cuerpo se acostumbre a mi calor
Entrégate, mi prisionera
La pasión no espera y ya no puedo más de amor

Abre los ojos, no me hagas sufrir
No te das cuenta que tengo sed de ti
Mía, hoy serás mía por fin
Déjame besar el brillo de tu desnudez
Déjame llegar a ese rincón que yo soñé

Entrégate, aun no te siento
Deja que tu cuerpo se acostumbre a mi calor
Entrégate sin condiciones
Tengo mil razones, y ya no aguanto más de amor

Déjame robar el gran secreto de tu piel
Déjate llevar por tus instintos de mujer

Entrégate, aun no te siento
Deja que tu cuerpo se acostumbre a mi calor
Entrégate, mi prisionera
La pasión no espera y ya no puedo más de amor"
Eres,"Tras el brillo de un cristal
Tu silueta no dejaba de admirar
Deseaba sólo una señal

Contemplaba tu mirar
Tu hermosura era un sueño tan real
Del que no quise despertar

Y confundí las horas soñando a solas
Loco por tu amor

Eres lo que siempre he amado
Eres lo que yo he esperado
Un poema de amor
Un nuevo mañana

Eres lo que me ha cambiado
Eres el significado
Que me trajo ilusión
Pasión y esperanza

Compartir la intimidad
Fue sentir el ritmo de tu corazón
Mientras hicimos el amor

Apreciar la vida es verte dormida
Aquí a mi lado
Y cobijarme en tu calor
Es confundir las horas estando a solas
Juntos tú y yo

Eres lo que siempre he amado
Eres lo que yo he esperado
Un poema de amor
Un nuevo mañana

Eres lo que me ha cambiado
Eres el significado
Que me trajo ilusión
Pasión y esperanza"
Eres Tú,"Como una promesa eres tú, eres tú
Como una mañana de verano
Como una sonrisa eres tú, eres tú
Así, así eres tú

Como una esperanza eres tú, eres tú
Como lluvia fresca en mis manos
Como fuerte brisa eres tú, eres tú
Así, así eres tú

Eres tú como el agua de mi fuente
Eres tú el fuego de mi hogar
Algo así eres tú
Algo así como el fuego de mi hoguera
Algo así eres tú, en mi vida algo así eres tú
Como mi poema eres tú, eres tú
Como una guitarra en la noche
Como mi horizonte eres tú, eres tú
Así, así eres tú

Eres tú como el agua de mi fuente
Eres tú el fuego de mi hogar
Algo así eres tú
Algo así como el fuego de mi hoguera
Algo así eres tú, en mi vida algo así eres tú
Algo así eres tú
Algo así como el agua de mi fuente
Al así eres tú, como el fuego de mi hogar"
Es Mejor,"Es mejor

Se terminó una historia de amor
pues no me quema ya tu piel
Y tus labios no me saben a miel
Ya sé tu puedes decirme lo mismo
entre tú y yo hay un gran avismo
niña, (niña)

Es mejor
dejarlo como está
Es mejor
guardar una amistad

Ya lo sé
No tengo perdón
Sé que te engañé con alguna
Aunque yo
te amé con locura.
Ya sé tu puedes decirme lo mismo
entre tú y yo hay un gran avismo
niña, (niña)

Es mejor
dejarlo como está
Es mejor
guardar una amistad

Es mejor
dejarlo como está
Es mejor
guardar una amistad

Qué gran distancia me separa de tí
es enorme años luz
yo soy el norte
tu eres el sur
Ya tú puedes decirme lo mismo
entre tú y yo hay un gran avismo
niña, (niña)

Es mejor
dejarlo como está
Es mejor
guardar una amistad"
Es Por Ti,"Esa melodía que se escucha cuando estas
El suave mormullo de las aves al cantar
Al despertar es tu palpitar que me haces suspirar

El roce de un beso más el toque te piel
Y fue un deseo que me envuelve sin querer
Quiero llevar toda la pasión hacia la eternidad

Es por ti
Que puedo oír
Donde nace el Sol
Y la ilusión vive del amor
El corazón en un mundo azul

Es por ti
Que llego ahí
Donde no hay dolor en tu calor
Puedo viajar toda la vida en tu fantasía

Sé mi abecedario, mi refugio, mi cantar
Lleva entre tus brazos
Este sueño de los dos al navegar
Vamos a escribir la historia y su final

Es por ti
Que puedo oír
Donde nace el Sol
Y la ilusión vive del amor
El corazón en un mundo azul

Es por ti
Que llego ahí
Donde no hay dolor en tu calor
Puedo viajar toda la vida en tu fantasía

Es por ti
Que llego ahí
Donde no hay dolor en tu calor
Puedo viajar toda la vida en tu fantasía

Es por ti
Que puedo oír
Donde nace el Sol
(Donde nace el Sol)"
Esa Niña,"Esa niña que tiembla en mis brazos
Y que finge tener 20 años
Esa niña que pide ternura
Ansiedad, libertad y locura

Esa niña que viene pegando
Bofetadas de vida y encanto
Esa niña que arrasa con todo
Que no sabe vivir poco a poco

Eres tú, oh tú, oh tú, oh tú
Quien quiera que seas tú
Oh tú, oh tú, oh tú
Si tú lo deseas

Esa niña que tiembla en mis brazos
Y que finge tener 20 años
Esa niña que escribe canciones
Discoteca, guitarra y motores

Esa niña que guarda muñecos
Y que alterna el amor y el colegio
Esa niña que me ha vuelto loco
Que me tiene absorbido del todo, eres tú

Tú, oh, tú, oh, tú
Quien quiera que seas
Tú, oh, tú, oh, tú, oh, tú
Si tú lo deseas

Te quiero así
Pequeña y agresiva con la vida
Loca perdida, perdida, perdida"
Ese Momento,"Ese momento
Cuando tus pasos van sonando
En la escalera
Me vuelvo loco
Mi sangre hierve y mi pulso
Se acelera

Y me imagino la humedad
De tu esperado respirar
Y me estremezco de saber
Como te voy a conquistar
Ese momento que considero tan
Egoístamente mío

Ese momento
Donde se acaban expresiones
Y palabras
Cuando tus manos
Se depositan en la fiebre
De mi tiempo

Ese momento
Yo no creo que se pueda
Describir es llanto, risa
Vida plena
Una forma de morir
Ese momento
Te considero tan egoístamente
Mía

Ese momento
Yo lo espero siempre
Cada atardecer
Miro la puerta, ese espacio
Donde va a aparecer
Ese momento
Te considero tan
Egoístamente mía

Ese momento
Yo lo espero
Siempre cada atardecer
Miro la puerta, ese espacio
Donde vas a aparecer
Ese momento
Te considero tan
Egoístamente mía

Yo lo espero
Siempre cada atardecer
Miro la puerta, ese espacio
Donde vas a aparecer
Ese momento
Te considero tan
Egoístamente mía
Mía
Mía"
Estaré En Mi Casa Esta Navidad,"Estaré en mi casa
Esta Navidad

Tú serás la nieve y yo
El fuego de tu hogar

Con la Noche Buena
Llegará el amor

Quiero estar contigo
Al menos con el corazón
Tú serás la nieve y yo
El fuego de tu hogar

Con la Noche Buena
Llegará el amor

Quiero estar contigo
Al menos con el corazón
Estaré en mi casa
Al menos con el corazón"
Este Amor,"Este amor, este amor, este amor
Siempre irá contigo
Por muy lejos que te vayas
Llegará con mis olas
A la orilla de tu playa
Este amor, este amor
Es tu vida en mi vida
Este amor, este amor es
Tu sangre en mi herida
Este amor este amor por ti
Este amor este amor
Es rocío en tu hierba
Este amor, este amor
Es camino en tu huella
Este amor, este amor por tí
Este amor, este amor, este amor
Volará en tus alas
Por el viento y por las aguas
Entre sal y entre brumas
Esta dentro de tu alma
Este amor, este amor es
Tu vida en mi vida este amor
Este amor es tu sangre en mi herida
Este amor, este amor por tí
Este amor, este amor
Es rocío en tu hierba este amor
Este amor es camino en tu huella
Este amor, este amor por tí
Este amor, este amor
Es tu vida en mi vida este amor
Este amor es tu sangre en mi herida
Este amor, este amor por tí
Este amor, este amor
Es rocío en tu hierba este amor
Este amor es camino en tu huella
Este amor, este amor por tí"
Estrenando Amor,"De tu amor quedaban trozos por mi piel
Que no podía desprender
Que no podía arrancar

Tanto amor se me enredaba al corazón
Y mil recuerdos del ayer
Volvían a despertar
A despertar

Creí que nunca más volvería a amar
Que tú ya habías llevado todo, todo
Y el tiempo inexorable te hace olvidar
Hoy otra vez de nuevo estoy

Estrenando amor
Sueños y caricias
Nuevos besos nueva vida

Estrenando amor
Amasando amor
Construyendo amor
Divino amor

Ay, tanto amor se me enredaba al corazón
Y mil recuerdos del ayer
Volvían a despertar
A despertar

Creí que nunca más volvería a amar
Que tú ya habías llevado todo, todo
Y el tiempo inexorable te hace olvidar
Hoy otra vez de nuevo estoy

Estrenando amor
Sueños y caricias
Nuevos besos nueva vida

Estrenando amor
Amasando amor
Construyendo amor
Divino amor

Estrenando amor
Sueños y caricias
Nuevos besos nueva vida

Estrenando amor
Amasando amor
Construyendo amor
Divino amor

Divino amor

Se que estoy
Estrenando amor
Sueños y caricias
Nuevos besos nueva vida

Estrenando amor
Amasando amor
Construyendo amor
Divino amor

Estrenando amor
Sueños y caricias
Nuevos besos nueva vida

Estrenando amor
Amasando amor
Construyendo amor
Divino amor

Estrenando amor
Sueños y caricias
Nuevos besos nueva vida

Estrenando amor
Amasando amor
Construyendo amor
Divino, divino amor

Estrenando amor
Sueños y caricias…"
Eu Não Posso Ficar Assim,"Foi tão de repente
Que o amor chegou e entrou na gente
Pétala de rosa
Que desabrochou num dia quente

Por favor
Não há nada mais que amor
A chuva chove, o mar se move
E cada instante é infinito
Eu digo não
Eu não posso ficar assim
Como um louco pensando em ti
Sem saber aonde vais

Não, não, não, não
Tu não podes fugir assim
Fica um pouco mais aqui
Fica só um pouco mais

Não, eu não posso ficar assim
Como um louco pensando em ti
Sem saber aonde vais

Não, não, não, não
Tu não podes fugir assim
Fica um pouco mais aqui
Fica só um pouco mais

Vem sonhar comigo
Dar a volta ao mundo
Em um segundo
Como dois amigos
Super milionários vagabundos

Por favor
Não há nada mais que amor
A chuva chove, o mar se move
E cada instante é infinito
Eu digo não
Eu não posso ficar assim
Como um louco pensando em ti
Sem saber aonde vais

Não, não, não, não
Tu não podes fugir assim
Fica um pouco mais aqui
Fica só um pouco mais

Não, eu não posso ficar assim
Como um louco pensando em ti
Sem saber aonde vais

Não, não, não, não
Tu não podes fugir assim"
Eu Que Não Vivo Sem Você,"Nos queremos tanto, somos quase um sonho
Esse mundo louco não vai nos perturbar
Fica aqui comigo, vem ser meu abrigo
Me abraça forte, e diz que me perdeu.

Eu que não compreendo mais a vida sem você,
Se não estou contigo, nem sei mesmo o que fazer
Te quero, te quero, seguro que eu
Não posso viver sem te amar

Fica aqui, abraça-me, eu te amo tanto
E te peço por favor, me espere onde for.

Eu que não compreendo mais a vida sem você,
Se não estou contigo, nem sei mesmo o que fazer
Te quero, te quero

Eu que não compreendo mais a vida sem você,
Se não estou contigo, nem sei mesmo o que fazer
Te quero, te quero"
